epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,2199.79,0.37025,0.36018,0.87747,0.95148,0.86783,0.9364,0.90747,0.29145,0.42876,0.8069,0.00081388,0.00081388,0.00081388
96,2222.48,0.38226,0.38982,0.89324,0.92696,0.88399,0.93533,0.90622,0.30448,0.39703,0.81792,0.0008119,0.0008119,0.0008119
97,2245.12,0.38872,0.39715,0.89583,0.94781,0.8988,0.93632,0.90619,0.28084,0.37481,0.81185,0.00080992,0.00080992,0.00080992
98,2267.74,0.40707,0.38981,0.90415,0.92589,0.8668,0.9265,0.88815,0.30626,0.45173,0.8163,0.00080794,0.00080794,0.00080794
99,2290.51,0.39109,0.37192,0.89154,0.95736,0.90113,0.92512,0.88888,0.29926,0.37344,0.82451,0.00080596,0.00080596,0.00080596
100,2313.4,0.38396,0.362,0.89386,0.91721,0.86465,0.8988,0.85858,0.32907,0.44257,0.83947,0.00080398,0.00080398,0.00080398
101,2336.38,0.37402,0.39,0.88603,0.94709,0.8451,0.91218,0.88423,0.3309,0.4229,0.84536,0.000802,0.000802,0.000802
102,2359.21,0.38218,0.41576,0.89546,0.93926,0.83068,0.91358,0.88009,0.33169,0.5184,0.8505,0.00080002,0.00080002,0.00080002
103,2381.69,0.37776,0.38577,0.89926,0.91455,0.85811,0.91444,0.87978,0.31444,0.40586,0.82199,0.00079804,0.00079804,0.00079804
104,2404.15,0.37623,0.37974,0.88695,0.89531,0.88352,0.9103,0.87588,0.33955,0.43017,0.84645,0.00079606,0.00079606,0.00079606
105,2427.12,0.38776,0.39711,0.89456,0.93792,0.88547,0.9206,0.89007,0.32983,0.42723,0.83166,0.00079408,0.00079408,0.00079408
106,2450.04,0.36709,0.3616,0.8866,0.91323,0.88538,0.91163,0.88033,0.29864,0.43841,0.81162,0.0007921,0.0007921,0.0007921
107,2473.02,0.36777,0.35789,0.88762,0.8512,0.89234,0.92172,0.88926,0.28796,0.47516,0.79845,0.00079012,0.00079012,0.00079012
108,2496.01,0.38504,0.35501,0.88945,0.94891,0.89508,0.93465,0.89649,0.29621,0.39039,0.81081,0.00078814,0.00078814,0.00078814
109,2518.7,0.36573,0.35413,0.88679,0.88852,0.87472,0.90538,0.87029,0.32231,0.49806,0.82839,0.00078616,0.00078616,0.00078616
110,2541.1,0.36552,0.358,0.88789,0.93907,0.84521,0.9205,0.88461,0.3146,0.40155,0.82884,0.00078418,0.00078418,0.00078418
111,2563.62,0.37901,0.34325,0.88144,0.91892,0.8431,0.90787,0.88307,0.29712,0.41696,0.81804,0.0007822,0.0007822,0.0007822
112,2585.78,0.36594,0.33852,0.88808,0.93646,0.87415,0.92688,0.88888,0.3074,0.42633,0.80969,0.00078022,0.00078022,0.00078022
113,2608.21,0.3752,0.36087,0.88885,0.93031,0.8689,0.90976,0.87811,0.30298,0.46405,0.79581,0.00077824,0.00077824,0.00077824
114,2630.21,0.3679,0.34639,0.87897,0.87344,0.87163,0.89554,0.87362,0.28164,0.44779,0.79155,0.00077626,0.00077626,0.00077626
